,Unnamed: 0,id,text,compound,neg,neu,pos
0,0,0.0,totally disagree wait surgery bloody hospital,-0.8431,0.751,0.249,0.0
1,1,1.0,receptionist rude makes wait phone waiting 50 minutes response doctor blood test ready week ago suddenly gone hospital keeps waiting nothing,-0.8591,0.393,0.525,0.082
2,2,2.0,great sister handsome,0.8074,0.0,0.12,0.88
3,3,3.0,satisfied corona booster risk group go back school without infected shame wait picked right away also exciting,0.8901,0.078,0.411,0.51
4,4,4.0,unfortunately lung cancer chance surviving sisters nice bad spend last days like food anymore even though free also annoying not allowed smoke inside energy walk,-0.0258,0.303,0.35,0.347
5,5,5.0,broke ribs hurts lot sit emergency room waiting room half hour nice situation lie not well arranged,-0.8595,0.491,0.406,0.103
6,6,6.0,give birth hospital teenage mother midwives told give child new boyfriend take good care children already 3 children exes angry midwives gave opinion think bad mother,-0.1779,0.201,0.619,0.18
7,7,7.0,recorded say corona total bullshit not dead dry get poison syringe everyone vote thierry baudet,-0.5938,0.321,0.528,0.151
8,8,8.0,blood tests results yet wait know always short breath not getting treatment rash,-0.1882,0.185,0.677,0.139
9,9,9.0,top hospital pay 1006 euros treatment not work pay,0.0,0.264,0.566,0.17
10,10,10.0,care poor waiting time simple surgery knee two months,-0.4404,0.399,0.392,0.209
11,11,11.0,receptionist curt wait long time waiting room,-0.7906,0.667,0.333,0.0
12,12,12.0,everything well arranged 10 euros per hour parking expensive,-0.1027,0.216,0.603,0.181
13,13,13.0,hospital still believes corona hoax muzzles everything disgusting,-0.8126,0.552,0.448,0.0
14,14,14.0,well done nothing complain aftercare order,0.4956,0.0,0.487,0.513
15,15,15.0,casually diagnose treatment make easy,0.5574,0.0,0.395,0.605
16,16,16.0,came sex change operation hurt lot,-0.5267,0.405,0.595,0.0
17,17,17.0,say anything good catering,0.4404,0.0,0.508,0.492
18,18,18.0,arm broken well helped friendly staff arm still hurts,-0.2263,0.376,0.303,0.321
19,19,19.0,staff looked like funeral unsociable turned around took paracetemol,-0.3612,0.37,0.444,0.185
20,20,20.0,receptionist want help dutch passport friend translate work going back russia help,0.836,0.0,0.447,0.553
21,21,21.0,appendix come done well doctor sisters friendly reassured completely happy,0.8999,0.0,0.333,0.667
22,22,22.0,3 children born midwives little less nice fortunately doctor nice happy pity doctor not allow another child uterus prolapsed ectopic pregnancy,0.6476,0.143,0.555,0.302
23,23,23.0,gave birth diabetes hospital addition wanted drink wine childbirth not allowed bring alcohol inside think sisters secretly drank delivery go well fainted several times midwife thought putting enough effort get child,-0.1027,0.104,0.833,0.062
24,24,24.0,corona place allowed even though breathe almost choked ic take seriously still alive thanks nobody helped never go go arnhem hospital help,0.5709,0.152,0.572,0.276
25,25,25.0,go ic corona go room mark rutte hugo de jonge could die arrange fortunately allowed go hospital arnhem hospital helped,-0.5994,0.17,0.83,0.0
26,26,26.0,mentally disabled son 21 helped bedwetting unfortunately pees floor instead bed rug smells like piss,-0.5106,0.335,0.542,0.123
27,27,27.0,mommy went never came back,0.0,0.0,1.0,0.0
28,28,28.0,sent doctor speech therapy child lisps even,-0.128,0.2,0.8,0.0
29,29,29.0,could longer smell corona sent icu experts nice people think smell back,0.4215,0.0,0.797,0.203
30,30,30.0,mother mri scan yesterday everything going great good fine sisters,0.8316,0.0,0.443,0.557
